x,y,z
32132,66795,409
2980,75882,72185
82793,95561,21807
87315,85820,45345
2620,2696,55751
21772,98856,36342
88805,70981,95351
84464,30295,96422
44473,62386,3831
15002,83227,4818
73985,55195,36501
61,29333,10996
90400,50748,9388
72,8194,93642
97334,44610,88597
64285,1337,13226
46853,55292,57293
58731,39912,2182
61770,58941,85987
17619,48241,58516
18831,89299,7635
16441,62768,56899
23203,61644,21333
37279,46810,33587
53489,65501,56085
91029,10086,85970
40406,3247,55372
9390,23993,95590
61409,3806,57505
38444,21048,76931
87457,5882,17328
1492,98454,11356
34086,84248,9056
74688,27883,21952
79188,7064,12632
91348,43845,1532
34745,64181,44171
7806,19266,32787
33085,93894,35085
31428,68113,89405
15551,36574,69742
11232,52071,60173
15879,23871,76615
49665,51460,48258
53002,49028,78665
43042,67003,40981
99311,41458,15378
20149,62475,11577
48610,33656,58382
28991,40108,40043
46699,98496,71864
34014,59800,45083
33927,47876,15168
94400,73063,72556
3290,96651,25421
86275,20429,73342
6369,34450,33203
98711,91637,85717
53817,82313,65746
82572,82098,99438
18981,88347,87487
75290,18664,81518
52683,28738,92710
69496,30395,88893
8122,3323,17208
93970,97951,45374
82065,66892,75566
27276,71187,89613
49642,13668,88370
76967,11454,54420
8203,15642,47378
35633,21285,18378
62057,80476,69896
45377,89148,93803
49830,67593,56578
97624,29595,22859
60295,37501,76348
87926,64866,46892
53829,57087,99940
83290,91253,7873
72565,52419,77119
30082,33893,46253
79800,34617,12066
67200,32671,33780
45422,86561,12413
44581,7395,69347
65086,29810,87257
1250,12094,2393
45074,54181,73835
87848,89560,41417
85906,71201,30661
20818,83337,78686
76488,28780,79080
80243,64033,2118
12479,98750,19168
16993,38356,9508
13827,61317,52266
59564,40839,20572
76790,86209,13068
6567,49986,1612
83864,45970,29355
46101,60449,82713
38057,19594,842
33310,64149,47860
35612,86446,11461
30574,19942,16086
88350,72365,75697
45259,45744,52317
14594,64349,20799
90503,93884,52470
24796,60178,81899
3127,33744,26980
48013,76959,77604
91166,26765,24122
20106,43694,27995
11220,12568,266
4756,38397,5732
24115,9352,85695
67165,54634,78854
31332,35008,12741
83415,77586,86753
92963,51403,49339
24693,31651,31601
8779,26622,11814
95636,24725,98916
52257,1107,90103
34296,91074,77011
20278,17354,38054
68170,777,46106
53382,78522,94064
8246,311,30654
39700,47101,2023
47272,87449,84800
14553,71745,59998
26625,76317,57420
50339,64783,52256
90770,59901,9707
44531,88504,80425
36105,85356,69537
86103,37160,42035
85927,73647,47510
71687,44641,10300
97052,80041,42560
34458,51327,5569
61384,15787,5534
66901,77931,72130
26711,68059,91056
57851,83858,53120
69715,98681,40470
23952,56012,62026
29171,94253,72970
62552,51129,1955
14251,80354,32095
18948,74605,25344
94001,10885,94956
95463,991,51904
31094,13862,45786
67590,41009,14051
27356,43451,65573
38082,36178,65602
72043,37116,65680
72906,14236,87163
99520,35784,90910
13458,52935,87469
61639,19229,32772
79809,44952,32856
31665,5698,47751
69252,87245,94727
47356,96193,12514
25227,19750,5820
28825,53912,56025
71696,43967,6107
62185,40146,76719
61760,6452,35647
98554,49376,2379
58900,57494,79567
57072,31977,25030
2292,57760,57085
16944,73458,98830
80014,51527,61339
5088,65099,93860
66085,96602,6631
39142,55909,32175
36274,85100,72708
52300,31626,15534
25887,12718,44794
7617,80287,42324
23473,52682,3505
38103,27495,44198
78399,80897,21523
19980,4007,1267
41389,73204,30859
29108,41647,38430
60545,5363,59672
37296,50520,75711
89713,92359,49477
41661,65579,32789
46621,39870,80807
13536,90515,79158
8282,66786,3461
18937,70126,36984
91497,11349,5891
59735,52303,53518
36357,76985,38525
89580,13672,13148
27253,25251,38126
68692,96009,16067
22219,47956,41256
4116,58310,47671
94656,8382,14079
79552,8913,46602
43480,68522,33470
76580,35276,86489
84523,23264,63186
20734,37170,26638
97666,93942,63709
35674,95866,27958
19385,49654,82883
60972,62187,40773
1310,10949,65734
55768,10753,45828
89933,52726,4653
68134,77049,23128
37524,47980,87263
78386,88608,34995
9937,51895,78868
32755,50549,54938
18434,52193,90291
63881,66851,93024
74517,365,39950
90393,87774,75031
86005,3774,16691
14727,26870,3547
2034,44152,7321
8556,96759,70901
98296,93887,97405
79855,98535,23345
3958,25815,69850
14325,75688,49430
69613,74487,7526
79544,43147,80761
60097,76817,62960
5749,64277,11565
81211,87293,82207
18851,15311,73640
92817,27674,43713
6463,42354,27402
31235,40433,37922
58921,22915,94544
44094,2005,21593
93577,32846,51429
18304,52926,66225
67819,68018,36577
95295,721,31667
96071,13132,60450
37637,35548,67961
32690,35768,87725
49004,23335,18164
63120,85239,20159
36029,75749,55684
47174,87949,35347
63696,56518,5277
25075,52422,22766
16881,20343,11161
18475,41611,94063
90309,53557,14589
22146,21750,65470
39268,57418,10579
34633,22466,96603
97219,1573,96408
93753,36460,91205
4887,61561,93332
74387,48914,59913
79864,26078,6393
92418,17195,43076
37494,98804,92421
55469,15767,10767
46725,70534,45001
90063,53316,99554
15599,53068,82830
89258,90430,56174
41317,49164,34376
10286,45936,57843
61024,83048,28433
6207,24164,1213
5181,45501,57436
70332,68938,43553
45918,25237,63592
3180,27812,18035
24789,27009,52227
99024,27157,27744
63154,75905,72094
4980,50977,75650
7597,14682,18868
82575,57112,57782
43737,54268,72650
33601,92019,2520
34561,59675,2117
96543,14077,18947
85214,26900,38256
58339,56781,57909
32954,55439,2164
28864,4243,44429
71449,54175,1165
10232,27597,85270
46662,52366,75678
59469,8087,81931
3023,32359,43070
60462,59802,47310
75497,37741,88569
13024,30201,48884
46747,41365,94509
24754,80819,48951
79255,33897,54537
26817,25659,2248
29611,68571,95416
39645,81840,90389
46599,60952,95572
97503,26660,41422
36024,42728,8456
62307,60651,63075
10739,25139,27897
84381,36296,93587
56342,44015,95068
32238,15970,70948
57306,98315,84688
76358,98703,66482
14036,92045,57408
16026,82584,46465
36203,15597,8203
82774,57412,57084
12175,89114,79684
30525,79076,25996
5999,43585,34439
82699,68169,64389
55182,48475,71001
38701,93014,9964
29924,97886,60650
88307,54768,15309
16243,91094,1114
88931,71825,22292
32312,45923,22183
37041,59842,15195
9486,48907,3299
46214,9570,74546
80720,3085,633
7632,13636,45471
50979,84412,79933
9900,17384,66136
41786,68413,1264
66165,92654,13626
91797,98499,96199
52133,34140,66867
71612,63489,84274
80147,87697,1933
13221,8068,75815
44559,53104,32563
21892,25284,18411
69465,2864,96643
33574,73367,65751
35211,9260,75995
94636,49029,58303
66363,83028,92376
37513,72963,85584
94694,41881,70776
75679,30852,68168
2553,33112,45571
40956,19990,24471
55541,30388,55867
25946,11762,65404
45384,54084,24378
75057,89683,11858
21635,78146,3528
44714,19102,81740
76019,91554,17811
16407,74091,45062
38728,39266,74432
96837,48150,87464
59227,9151,35629
16503,79256,37620
36561,95475,13083
729,52496,83593
16369,17841,53703
8376,17694,70242
5787,94493,8010
34398,1518,43412
48009,76390,1188
78607,54798,16728
93884,59916,56289
72346,71461,86802
17510,83834,65771
72995,87822,83385
60594,64227,93822
37870,23642,48841
83277,5728,59816
35828,83632,59095
92612,360,36377
69025,68495,69363
12122,75191,77118
31161,8290,94326
48098,26384,40705
67972,1426,90464
99760,60184,75734
21145,14793,2371
65675,8996,10374
12518,78033,89078
91404,50783,23987
54391,19971,45576
55889,96933,40172
65490,53599,95268
54463,13864,5343
7444,77600,92832
93085,49458,57761
61375,95810,24302
45837,35780,65855
57933,93687,20371
24699,81014,15401
89678,67234,53078
4878,63285,61972
7901,7937,23867
47533,21226,47009
73444,37628,17606
31306,12233,73218
70037,90643,89480
21400,12920,89054
33293,6645,81627
97074,88092,33221
763,29294,66214
29415,54096,50346
28364,10660,77640
56726,10088,2206
59146,72816,69776
55145,45616,14640
83615,73721,72948
64274,85319,13032
71125,17266,36647
7910,74401,49631
44597,21707,36130
98609,78959,26271
64057,6945,35461
27290,67113,11653
23806,70135,31276
30862,40539,59538
13330,52889,51288
38120,99363,7248
10007,14081,3336
52938,2739,30592
94392,82995,23530
22746,35403,42429
62508,44716,60228
41029,64399,69693
51360,18837,74897
79296,79435,41942
89060,13292,92733
80894,3523,46436
12824,91181,26088
3955,67276,87908
90268,77877,90715
60354,21950,29852
46639,95444,63188
56446,77326,34573
83753,53708,14587
1890,49348,25713
98742,69876,20097
5523,15618,78441
25902,98955,36236
846,2866,95515
78003,98966,24731
24478,39231,76477
63634,23501,26252
45237,86403,42834
81310,94615,4120
81833,7242,30284
11016,87333,71004
10433,50897,69543
23564,60555,93667
97719,14461,54477
67136,73845,86268
95292,8829,26505
94515,86289,38199
94178,42094,32781
50698,8520,71429
86373,6651,33938
27746,9721,26351
51291,23490,58507
29023,53895,13346
55139,31361,70945
57212,92542,94246
96311,3569,60439
29458,1070,44648
3892,33784,86009
65393,86204,81802
31769,88617,35712
5778,22420,21443
16017,47690,98205
63227,90263,49426
11773,34473,81976
79498,34055,33217
4278,98272,90620
40658,62560,51790
88109,2633,38800
49212,61160,95487
75293,85895,85192
72279,30728,63284
61113,4525,15043
81709,41784,86321
89773,78205,90543
97201,40030,9512
92376,24353,71862
17020,58290,68755
39599,26769,82952
98804,31941,73224
43835,33846,62016
32561,62268,46667
33467,64609,85984
229,82669,68104
80826,81575,55010
58368,13190,39717
47614,77890,86158
71122,8728,43745
97196,10152,45280
76399,69906,2378
74828,71946,1408
19565,97554,95195
54962,74594,84433
27266,26855,74295
74757,70227,92175
6754,32021,99696
20671,99101,37551
83247,48859,94685
1355,12580,84044
94180,64466,69917
7425,25954,43441
7432,82204,85795
3287,88950,85388
91427,64166,58094
4324,8241,95602
57140,72517,11572
41137,91348,34848
50537,85517,91813
91392,52958,84955
27386,26263,19813
68437,45497,1938
57506,40484,46950
95176,98433,95865
92877,48415,58523
41704,19771,19803
5846,20972,48168
25900,72909,40183
49883,40722,63999
75180,43556,32609
97678,49938,16279
60142,37988,97741
61238,24383,53668
1234,13735,95061
71215,53332,50556
2092,21465,83793
73569,84785,11677
4261,68091,62942
63346,82171,47633
60467,52975,9426
45067,22804,55982
42721,20006,10607
74737,31720,62317
33088,1039,28828
93098,49868,35882
18109,95058,1073
17535,40336,58404
34881,94055,24379
25156,62856,58365
22585,96736,21298
23602,37747,80451
36008,70067,62479
64735,24969,61031
30816,12932,71170
91662,63893,99505
65575,55273,85840
79326,49398,60372
29426,10278,50106
11027,4900,24739
8641,10857,38498
38261,58737,63071
14784,78853,46877
45131,25667,48335
28463,44764,49500
29933,8298,99076
43827,41914,66473
97019,4870,61545
65601,56331,62462
27406,88543,52131
4751,16438,96231
3423,76306,90356
29539,37975,30557
93348,77994,85765
93248,57712,84923
69969,43817,484
46030,34248,42199
87406,85358,60910
18415,166,62150
99425,39218,45207
14365,70863,37801
82596,68346,61516
6390,5725,94876
43545,73394,67687
40391,3907,30391
52484,98651,33973
41095,13281,33992
445,79827,30777
83200,84107,62527
8585,26116,4969
14107,7964,95041
33937,24500,7751
26436,90892,36498
93520,73703,39135
94,47845,36222
66237,74505,7599
26003,57628,90598
49387,28463,45168
98156,60692,97006
58366,8918,81298
74616,68607,35369
46923,88350,47627
6770,2713,30840
73172,56580,35645
15003,95718,44104
7794,6729,36910
67671,80308,14766
79597,48700,20044
34019,90383,30940
38873,70505,1391
73641,5939,86535
91316,83936,1714
80544,80920,87461
25437,29442,90106
95149,82013,95918
38055,16913,1748
34094,9751,43944
95553,50792,36517
48573,61350,77623
465,2948,96656
58948,77140,78008
89558,22599,94679
89911,34666,16450
84506,19929,81648
97735,78537,39343
80480,76071,99084
31486,30231,16315
32773,94026,26276
22111,63832,87228
47337,57607,47319
4240,67722,24369
36491,28182,32118
5255,67231,81015
63786,66936,52751
45363,8001,99886
45128,26351,58942
65383,74112,15092
77482,9348,14885
78489,69640,21356
1023,89678,27977
64663,92205,8362
30222,51590,4348
40568,19869,12253
75549,69119,66535
99658,19088,79387
5762,66847,97705
58328,85030,53477
46265,20078,53156
32008,81009,22790
52663,92012,64219
57461,36963,45721
17487,24557,29300
41647,2903,92334
18548,32743,89318
60070,34447,64324
62920,68199,23724
54171,77781,97368
8950,49644,65427
41923,54873,80466
32600,74611,21625
48708,79764,71342
16416,58767,25677
21813,84895,80261
94455,83697,54342
65500,69425,79008
80924,55899,40969
98930,44059,7523
49496,17459,96989
32643,77743,48783
46721,42562,88993
44779,56297,87738
16204,26380,89329
13135,40619,26095
43011,11644,76514
58704,68293,94077
25071,58266,80830
3092,67871,57388
31695,39794,74247
17161,2216,25522
42517,14138,46993
59151,98530,86652
61278,4890,10017
93556,440,74806
49885,6100,62743
65691,53308,6584
72980,76042,88990
28194,69131,15205
26960,52353,66233
38405,83986,35266
82410,72579,26452
93135,35823,32966
28936,65330,57131
53716,24082,69169
77149,4768,11718
16836,71672,53145
65022,10106,76451
51995,8888,24778
79670,6377,78719
56157,89233,71081
47289,11780,92585
60916,85421,42690
78093,27769,68246
14556,44902,37311
11608,19587,96088
76937,98424,33389
54748,85128,13845
87354,61560,76158
23550,3835,29828
90662,49648,96439
58251,98686,1878
62868,36692,91240
35414,22196,64755
87154,58376,21211
33082,48733,37041
76518,77055,83683
41627,42494,70773
22424,15885,13969
9863,28430,55437
18829,89225,45409
96897,93210,93662
35123,54898,92431
66126,20414,87610
35264,78242,52254
6630,12011,77925
34638,58248,3901
26635,2099,78771
47540,80166,62019
24744,69886,42901
13190,24437,73851
76120,29915,94800
88602,64017,83167
15765,83524,62039
30192,67222,10280
99545,37824,37810
29765,20801,49330
38046,64855,60790
51164,10921,95720
62120,41646,38438
89465,98720,85226
79402,8143,65923
5352,42898,44218
93453,68312,7969
49867,75418,9599
82346,99679,50101
25664,40549,39368
4895,5023,37282
31467,89822,56889
46184,16973,90507
49170,50132,29090
28107,6775,98242
33655,57580,23423
18395,61948,50228
99382,32926,56672
21202,61700,36503
12885,53112,60631
32930,48918,78333
53194,6809,93808
69013,84694,94084
22553,3507,94781
28427,91612,51261
86208,10466,7898
88848,72841,76794
11669,13223,94932
25533,53246,58402
42510,67343,75338
82662,45825,80217
23742,25931,66879
6306,26430,29354
31793,5196,86435
29593,91109,73842
70034,49863,31296
646,59190,61363
82495,31946,49442
79744,84482,86547
60084,64495,74817
53351,94705,16421
91494,28157,19704
34795,5303,17715
96092,22280,51403
6131,92914,46759
24220,63593,27940
82273,2917,70767
23268,52215,52347
88648,97898,55434
72378,62468,36258
40890,22845,36820
56350,68484,56579
93772,32240,28890
89368,57272,56167
10672,20051,65549
9583,67892,53897
77189,62264,69396
9896,9537,48034
59941,67080,26691
8877,6879,3009
83178,46224,8006
59367,43192,30729
86018,6457,70660
4226,79509,75137
23906,46366,17937
9512,66062,62706
91350,42792,12729
3945,55135,7434
53027,12214,24664
62535,17237,42872
40899,48493,97807
96000,77378,36320
35076,96866,90047
20482,87544,90118
79490,21247,19672
53895,92182,23760
95876,99108,19935
3915,51943,63960
95623,49682,86230
49651,87105,23456
2316,65415,83225
48474,61649,91847
61391,79549,38485
47252,55261,90186
84990,39222,9884
59942,60860,4413
78072,5138,90816
14098,39394,39328
50353,73809,73803
95560,58490,58746
13251,1567,91495
49663,93282,15182
43044,69851,94416
2333,69955,31686
71745,88944,30301
15401,83469,96884
55729,84124,82504
39157,35242,99112
9181,11581,51155
23922,83943,66850
64292,98011,81262
31832,33408,63028
88248,12897,42405
64932,81049,86472
82066,16390,63354
49943,70435,53408
31870,77786,27976
72192,39617,10949
15670,25177,20113
74410,60373,24365
55868,38152,70402
42990,72650,90260
88518,40195,47239
80094,22871,21615
97664,76599,78582
13466,14744,15151
63077,74715,40723
1821,74222,79099
71631,49552,37079
89679,51550,9327
45170,55410,79461
62449,87268,22057
88220,82621,81541
19327,92122,66459
95054,75131,28865
41656,34820,86353
75208,20667,19909
55485,12535,97340
8947,97936,44784
7464,96027,3254
53339,63094,44536
25606,44221,93805
4403,4414,62421
34236,81494,4194
17886,74151,16475
78555,24241,19960
35971,2994,8603
7288,57562,72786
88505,56706,16799
80345,4856,66549
43682,12566,87474
21907,16763,54441
10658,74571,59402
9735,21629,40718
84800,13065,88092
6056,84399,84694
79252,8783,29447
64190,41330,1261
39384,68808,71453
75943,38802,816
82695,57388,21715
86967,55608,9935
83782,21204,91499
80033,83872,88131
34202,55486,93047
71240,27527,82493
89664,86855,84996
67699,82379,12705
38015,32742,77307
42690,23712,68086
12527,68074,13967
69992,41869,12549
59446,56685,33633
51491,73825,24562
9967,47565,18822
383,72932,63411
55232,37906,73372
16049,33394,15852
54212,38447,18607
1566,47075,4165
19699,86699,66792
23983,45916,82709
9680,21044,88048
33816,69994,82672
41493,50855,63632
59224,39367,1827
4512,84899,24845
85854,71658,17549
89543,90340,99981
464,73338,77559
75147,69956,30591
18826,21755,33940
34658,49491,4938
66493,58357,1726
87793,43092,53331
61850,98379,66017
96753,71918,91354
27739,66983,44374
64154,58995,55237
38257,70953,88343
26486,32429,95727
6978,44726,61380
38870,39604,53560
71460,88639,67494
29293,39982,21891
91005,93076,48577
48440,23415,7902
48130,43865,74944
29489,21602,3323
80301,33906,21556
30742,18564,10650
85596,93176,8061
61205,1702,1502
59334,42175,62738
12579,94288,13824
75654,50008,89494
33883,68296,16215
66896,97691,56338
35395,3651,24131
11511,75017,225
90227,74588,41294
56293,33514,63076
93211,54400,89261
39132,95373,31056
77798,307,51900
28321,52561,22836
14511,43343,2769
68823,93394,87705
18619,80969,87253
56740,63052,51339
87300,22812,16577
52925,84808,97825
21766,39348,2318
4392,35289,10430
7504,87025,69382
31296,20805,87808
4326,53065,93453
94060,63088,56001
66077,23169,84314
76185,21635,12198
71584,33471,97568
84286,85504,77026
25363,33142,58443
67412,93726,70446
69614,71647,11293
95708,24118,60244
64886,54484,46548
55207,27189,21865
10175,88272,68356
128,6889,14588
87481,82056,62660
38201,41272,8282
67541,13348,55847
67114,17627,76671
21708,29913,4839
41630,10369,31334
84631,24517,69540
58021,24589,67697
72932,92904,78476
33676,11720,56532
51533,80070,84011
3794,77467,56334
26089,82510,8600
91986,94928,21277
82286,3826,44857
77277,69972,34262
45898,36935,95981
18147,51736,57427
14661,77675,87686
80557,74737,39443
27683,20280,61451
62875,3508,90617
11081,40672,86960
94547,11398,40748
87677,77230,71420
99508,34093,8756
15385,86467,28928
24210,28287,17654
39120,74590,30945
84634,21549,54176
34411,97966,74750
83486,21052,77498
38872,29979,10079
25104,43136,58375
97716,26286,85284
15345,92094,93784
20971,87318,43225
62576,95658,71409
69920,64795,12618
51933,55687,61056
36606,87132,15466
85862,19478,26599
77821,2960,3353
78817,49881,51047
85115,39448,681
99603,37803,79583
35238,27813,55447
50881,54351,49739
82949,98431,69906
39548,93977,10513
79906,24010,8799
58118,90381,58058
81237,20049,45022
28635,38705,80903
25545,21795,75437
82420,30360,81316
85515,38701,24063
93140,3995,70738
64261,58961,53174
32581,86674,28276
18933,22650,14419
70854,30289,37624
90696,4560,86786
7196,77000,72142
28113,64801,54652
80380,5681,93214
97599,95778,59680
63651,53480,6982
98649,39013,44740
99033,70729,33689
57227,5310,33930
85437,37535,84883
34222,55915,30702
19411,40121,67628
6756,84262,33496
38659,89092,84653
98712,55552,7920
1827,95301,17960
81818,27950,91413
65628,75422,74824
97985,99416,47103
22274,43777,79826
24506,64525,10518
87976,14601,41323
66731,29093,32108
12566,17929,37044
20654,55675,61503
32487,74923,86794
43317,59442,96687
90905,57362,58336
45835,4989,3424
93793,18366,62154
48219,1333,85794
96589,92649,72573
78298,79020,49767
17954,14759,44427
49949,46961,21388
33821,8565,86175
24253,64720,59573
53190,97309,73281
36750,22267,34451
65850,46085,39154
91275,69086,4816
43299,95501,45105
95513,99190,67211
73342,90298,14137
85018,32028,22138
61271,97412,47444
25569,78431,49655
7987,69378,6296
88783,28549,61185
94158,25344,78194
83540,2093,97237
10971,5073,97675
38714,51014,74932
79870,56956,35221
66062,84811,49857
27678,60571,95394
60378,65357,68111
66601,42885,77283
23710,5646,99804
59477,39078,5709
75669,65646,65302
91148,53477,70331
89179,72536,19808
34001,7335,43469
12942,73184,65545
2518,49904,64703
45579,90101,47445
52127,44246,52251
51954,50782,18171
99196,59056,53618
53959,28509,31783
70535,79469,85501
44819,24609,56064
45766,12665,90748
86806,56688,54164
36341,30593,61010
13962,57315,78885
33027,20623,48383
98545,26722,31673
13759,5566,2907
62445,94863,28198
75895,14781,13150
55585,93616,41857
52831,38859,16103
49606,21313,11212
68908,37102,71565
78978,58010,56408
19346,54729,26278
24604,14904,85735
30304,79926,65363
29029,14994,35779
22281,10729,53762
29898,44522,30132
10678,43903,15590
9811,4864,58292
87732,52304,43679
41712,85070,57960
42874,81295,37867
64437,85515,99562
62048,50905,1032
93921,38415,70697
68019,13801,90736
32767,21879,69494
85814,80093,62999
50995,38576,76212
96900,14999,70932
98000,13619,68879
74708,24698,14083
69051,4602,32736
53737,88769,77939
83687,63663,17250
13671,43672,47093
61503,88167,83645
23265,88696,54269
50052,212,67050
12018,16721,38582
69582,56675,60488
2470,45464,42657
86636,63399,13865
79257,94545,25797
51232,74797,28775
47384,71470,23926
10620,79312,69570
86113,27271,82620
2339,55420,62669
3442,67269,71130
72847,34271,84538
3738,31128,38523
80863,7423,59508
77833,81219,71788
19209,19884,17215
48441,3655,69787
44107,48377,70214
23719,19230,67153
18956,43263,47294
82367,27826,98838
26891,70077,73203
62654,16568,5274
14079,79775,69808
99853,7358,78442
45855,21998,65306
19935,37797,93
92356,73988,12176
99160,88891,30213
33469,76225,72456
16662,23609,75509
18273,68240,47695
92027,79591,22733
80311,20261,99191
38903,52089,97882
85734,77605,82070
9060,61096,69819
23171,40703,17446
42076,40191,1555
36383,75032,13340
70920,66523,55744
29908,45273,65777
78530,12910,97659
97649,52489,24227
72780,88313,16599
97956,67296,10872
17934,55444,80308
5218,71387,16180
45037,46440,59531
23194,60227,30457
34381,91140,68154
29704,1276,80845
61568,12324,78834
23250,40877,34878
28176,63862,20630
5344,34328,82476
52316,15158,54277
78764,21617,65047
74500,52261,44417
27928,12662,27502
51122,91228,28314
51583,33811,1029
84587,61156,5298
29136,2537,89972
27759,45789,98650
83233,97923,40175
4401,99062,91171
86908,32850,4524
40863,77156,35751
58479,33785,87028
90115,93686,24928
78376,59245,23009
36021,84363,31617
72443,68411,84330
20540,97228,82715
40978,16379,66027
43201,4826,32530
64180,39781,53936
63353,85317,4029
14330,48516,16772
36263,43897,13770
33571,88732,66443
40708,36764,7713
69174,47671,46476
22160,87714,1722
5909,66906,46785
42535,23789,3909
2959,87279,65643
82054,44216,50823
51354,22251,37559
69451,12237,77520
54239,15751,63854
2387,36141,88639
90414,72966,23184
7109,83761,57612
55749,12570,12263
78394,96823,1400
26395,86424,5561
39043,83613,30844
49344,29805,3739
67386,25988,89272
82504,9798,55884
82499,65695,76228
47008,47105,55426
57687,92496,46203
81123,2892,95702
47992,29182,61288
69523,30774,91841
91445,61308,44372
40171,8256,20012
23521,91308,22886
96781,93982,74224
50775,34764,40202
40513,73878,17758
93807,26612,38014
5502,83010,42740
56391,31105,8520
7947,41187,1901
54197,5007,8395
36234,33532,46245
57998,66879,9445
74346,46378,85343
37085,36038,30929
22562,54230,290
17109,87884,15564
90429,71356,34601
88993,61594,54376
6277,55072,46742
58304,10961,43901
51126,19558,34764
86072,80867,21081
75885,75480,3478
53953,63312,82153
65822,32335,7628
67649,78373,18134
70173,57660,61581
1817,7963,23504
3965,10363,47942
95589,23788,17985
99210,37227,77816
55567,62886,94771
45915,81753,73154
43314,93479,97447
29474,29558,20071
62549,16636,22525
15557,64757,96218
59573,60215,85740
99981,51308,65235
96261,42681,45489
30429,1073,92741
85855,20192,51893
81555,43647,75631
91282,70390,51952
94169,27207,49015
57776,7913,74501
94336,12742,69423
33902,81629,5044
80452,65476,98809
90743,9648,94211
94930,53182,19663
17587,71238,53351
2458,49871,49042
73951,68671,38060
83146,97410,68162
69981,111,7177
58363,20680,19195
26567,18692,25132
18686,78034,82140
82404,67674,59888
23745,64120,15547
21179,61750,83784
97899,42401,42305
43188,15574,90133
32437,4919,79554
29062,68190,78680
5560,60468,73542
8058,32551,83099
98648,20355,11279
94948,77792,6521
55204,31942,66351
1828,35952,21675
43430,86166,32066
58160,81685,57000
37051,75504,49738
23590,62444,38071
28722,77987,99726
41751,37415,355
49146,64333,30963
98851,60812,40659
30865,47148,50644
98557,95200,49569
77709,45216,90470
75300,24649,53416
42278,10337,69232
88985,95889,11772
99948,62565,74138
81753,75583,78374
16730,37858,86392
3478,49425,78105
64099,38675,10507
4979,95701,28802
16095,86695,66125
62492,49749,26827
18638,18194,82552
81609,54935,24954
20228,1460,80444
7843,75758,4934
55296,7797,47922
74091,19921,39475
5455,5823,99456
8713,31801,84654
40625,58701,11807
85439,83093,15030
73684,38291,54320
25995,42581,14417
91606,34950,63730
51945,50082,23087
74709,63046,92021
33488,41452,23302
55793,31962,7219
45226,82311,8820
24200,58781,18452
84484,52124,27608
7985,27571,9305
81819,7912,76006
13656,94800,3219
8279,47660,16996
42170,73272,93308
1411,78767,12007
64046,80107,4828
